mc_name,col_id,syn_name,rank,name_status,genus,subgenus,species,infraspecies_marker,infraspecies,author,record_scrutiny_date,online_resource,is_extinct,name_html,url
Peronospora effusa,94ed87deeed42866912a576f8a7185c7,Botrytis devastrix,species,synonym,Botrytis,,devastrix,,,"Lib. ex Duchartre, 1845",,,0,"<i>Botrytis devastrix</i> Lib. ex Duchartre, 1845",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/94ed87deeed42866912a576f8a7185c7
Peronospora effusa,2f5c3b976e27a2bed3ab86af6b1cd1ea,Botrytis effusa,species,synonym,Botrytis,,effusa,,,"Grev., 1824",,,0,"<i>Botrytis effusa</i> Grev., 1824",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/2f5c3b976e27a2bed3ab86af6b1cd1ea
Peronospora effusa,5b0f17dd2537d3efa39866aae3d62445,Botrytis epiphylla,species,synonym,Botrytis,,epiphylla,,,"Pers., 1822",,,0,"<i>Botrytis epiphylla</i> Pers., 1822",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/5b0f17dd2537d3efa39866aae3d62445
Peronospora effusa,5401cda965b6ba7fbe339910a0a8937e,Botrytis farinosa,species,synonym,Botrytis,,farinosa,,,"Fr., 1832",,,0,"<i>Botrytis farinosa</i> Fr., 1832",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/5401cda965b6ba7fbe339910a0a8937e
Peronospora effusa,c6921fa89692a1d4374789f08807af6f,Botrytis vastatrix,species,synonym,Botrytis,,vastatrix,,,"Lib., 1845",,,0,"<i>Botrytis vastatrix</i> Lib., 1845",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/c6921fa89692a1d4374789f08807af6f
Peronospora effusa,5566ee74d23e1425fe4c9eacd1c9745c,Peronospora amaranthi,species,synonym,Peronospora,,amaranthi,,,"Gäum., 1923",,,0,"<i>Peronospora amaranthi</i> Gäum., 1923",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/5566ee74d23e1425fe4c9eacd1c9745c
Peronospora effusa,7d59f7c9293b964deaaa7d72618a011f,Peronospora atriplicis-halimi,species,synonym,Peronospora,,atriplicis-halimi,,,"Săvul. & Rayss, 1934",,,0,"<i>Peronospora atriplicis-halimi</i> Săvul. & Rayss, 1934",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/7d59f7c9293b964deaaa7d72618a011f
Peronospora effusa,d2bf5a4be5df1fa8fb2d22b94749b217,Peronospora atriplicis-hastatae,species,synonym,Peronospora,,atriplicis-hastatae,,,"Săvul. & Rayss, 1932",,,0,"<i>Peronospora atriplicis-hastatae</i> Săvul. & Rayss, 1932",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/d2bf5a4be5df1fa8fb2d22b94749b217
Peronospora effusa,d119c86a4c5bba65491366bba139ef27,Peronospora atriplicis-hortensis,species,synonym,Peronospora,,atriplicis-hortensis,,,"Săvul. & Rayss, 1932",,,0,"<i>Peronospora atriplicis-hortensis</i> Săvul. & Rayss, 1932",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/d119c86a4c5bba65491366bba139ef27
Peronospora effusa,37b6163f358eb8246f17830f299cda10,Peronospora atriplicis-tataricae,species,synonym,Peronospora,,atriplicis-tataricae,,,"Oescu & Rădul., 1933",,,0,"<i>Peronospora atriplicis-tataricae</i> Oescu & Rădul., 1933",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/37b6163f358eb8246f17830f299cda10
Peronospora effusa,f3ca735f2907d7cbfcfdbf474b60883c,Peronospora betae,species,synonym,Peronospora,,betae,,,"J. G. Kühn, 1872",,,0,"<i>Peronospora betae</i> J. G. Kühn, 1872",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/f3ca735f2907d7cbfcfdbf474b60883c
Peronospora effusa,075bc674b059df3904902bdc7cf1a1af,Peronospora bohemica,species,synonym,Peronospora,,bohemica,,,"Gäum., 1923",,,0,"<i>Peronospora bohemica</i> Gäum., 1923",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/075bc674b059df3904902bdc7cf1a1af
